Faceplate/Port,Activation 1,Activation 2,Activation 3,Activation 4,Activation 5
2A-001A-01A,2/SW1/6/06,2/SW1/2/45,,,
2A-101-01A,5/SW1/4/06,5/SW1/1/37,,,
2A-101-03A,5/SW1/4/11,5/SW1/1/38,,,
2A-101D-01A,5/SW1/3/48,5/SW1/1/40,,,
2A-101G-01A,5/SW1/4/16,5/SW1/1/41,,,
2A-113-01A,5/SW1/4/19,5/SW1/1/43,,,
2A-113-03A,5/SW1/4/20,5/SW1/1/44,,,
2A-216-01A,5/SW1/3/9,5/SW1/1/24,,,
2A-216-03A,5/SW1/3/10,5/SW1/1/28,,,
2A-216K-01A,5/SW1/4/35,5/SW1/1/31,,,
2A-219-01A,5/SW1/4/44,5/SW1/1/32,,,
2A-219-03A,5/SW1/4/45,5/SW1/1/33,,,
2A-219-05A,5/SW1/4/23,5/SW1/1/35,,,
2A-219-07A,5/SW1/4/24,5/SW1/1/36,,,
2A-229-01A,5/SW1/4/46,5/SW1/1/19,,,
2A-313-01A,2/SW1/5/39,2/SW1/2/05,,,
2A-314-01A,5/SW1/3/16,5/SW1/1/29,,,
2A-334-01A,2/SW1/5/06,2/SW1/2/03,,,
2A-336-01A,5/SW1/3/22,5/SW1/1/30,,,
2A-338C-01A,5/SW1/4/38,5/SW1/1/34,,,
2A-503C-01A,2/SW1/6/48,2/SW1/2/46,,,
2A-530X-01A,2/SW1/5/24,2/SW1/2/02,,,
8-011-01A,R2/SW1/5/44,R2/SW1/1/36,,,
8-106-01A,R2/SW1/5/33,R2/SW1/6/6,,,
8-107-01A,R2/SW1/6/32,R2/SW1/1/40,,,
8-113-01A,R2/SW1/6/3,R2/SW1/1/41,,,
8-114-01A,R2/SW1/5/21,R2/SW1/1/47,,,
8-126-01A,R2/SW1/2/8,R2/SW1/1/32,,,
8-201-01A,R2/SW1/5/40,R2/SW1/1/44,,,
8-203-01A,R2/SW1/5/38,R2/SW1/1/45,,,
8-206-01A,R2/SW1/6/39,R2/SW1/1/38,,,
8-207-01A,R2/SW1/5/8,R2/SW1/1/46,,,
8-212-01A,R2/SW1/6/48,R2/SW1/1/42,,,
8-213-01A,R2/SW1/5/3,R2/SW1/1/48,,,
8-216-01A,R3/SW1/5/48,R2/SW1/1/37,,,
8-302-01A,R3/SW1/5/9,R2/SW1/1/47,,,
8-305-01A,R3/SW1/5/39,R2/SW1/1/34,,,
8-311-01A,R2/SW1/5/13,R2/SW1/1/48,,,
8-312-01A,R3/SW1/5/28,R2/SW1/1/35,,,
8-317-01A,R2/SW1/2/34,R2/SW1/1/44,,,
8-319-01A,R2/SW1/2/29,R2/SW1/1/43,,,
8-325-01A,R2/SW1/7/19,R2/SW1/1/41,,,
8-331-01A,R3/SW1/7/10,R2/SW1/1/33,,,
8-333-01A,R3/SW1/3/28,R2/SW1/1/34,,,
8-356-01A,R3/SW1/7/19,R2/SW1/1/37,,,
8-401-01A,R3/SW1/3/27,R2/SW1/1/35,,,
8-402-01A,R3/SW1/4/26,R2/SW1/1/41,,,
8-404-01A,R3/SW1/8/10,R2/SW1/1/40,,,
8-407-01A,R2/SW1/4/7,R2/SW1/1/38,,,
8-412-01A,R3/SW1/8/19,R2/SW1/1/39,,,
8-413-01A,R2/SW1/8/20,R2/SW1/1/42,,,
8-419-01A,R2/SW1/8/5,R2/SW1/1/45,,,
8-425-01A,R2/SW1/3/46,R2/SW1/1/46,,,
8-427-01A,R2/SW1/3/44,R2/SW1/1/47,,,
8-438C-01B,R2/SW1/1/1,R2/SW1/1/3,,,
8-444A-01A,R3/SW1/7/28,R2/SW1/1/44,,,
8-505-01A,R2/SW1/7/7,R2/SW1/1/48,,,
8-511-01A,R2/SW1/6/16,R2/SW1/1/37,,,
8-518-01A,R2/SW1/6/35,R2/SW1/1/34,,,
9-105-01A,R2/SW1/5/38,R2/SW1/1/40,,,
9-111-01A,R2/SW1/5/4,R2/SW1/1/41,,,
9-117-01A,R2/SW1/6/31,R2/SW1/1/42,,,
9-128-01A,R2/SW1/2/6,R2/SW1/1/35,,,
9-201-01A,R2/SW1/6/35,R2/SW1/1/44,,,
9-205-01A,R2/SW1/6/8,R2/SW1/1/45,,,
9-206-01A,R2/SW1/5/34,R2/SW1/1/38,,,
9-211-01A,R2/SW1/6/33,R2/SW1/1/47,,,
9-214-01A,R3/SW1/7/48,R2/SW1/1/36,,,
9-303-01A,R3/SW1/7/21,R2/SW1/1/31,,,
9-308-01A,R3/SW1/7/13,R2/SW1/1/34,,,
9-309-01A,PORT 05,R2/SW1/1/32,,,
9-315-01A,R2/SW1/3/1,R2/SW1/1/37,,,
9-317-01A,R2/SW1/2/24,R2/SW1/1/38,,,
9-323-01A,R2/SW1/2/35,R2/SW1/1/39,,,
9-329-01A,R2/SW1/6/22,R2/SW1/1/12,,,
9-332-01A,R2/SW1/2/10,R2/SW1/1/36,,,
9-333-01A,R2/SW1/6/38,R2/SW1/1/10,,,
9-334-01A,R2/SW1/5/25,R2/SW1/1/37,,,
9-358-01A,R2/SW1/6/48,R2/SW1/1/11,,,
9-405-01A,R2/SW1/6/10,R2/SW1/1/8,,,
9-406-01A,R3/SW1/5/34,R2/SW1/1/2,,,
9-411-01A,R2/SW1/5/47,R2/SW1/1/6,,,
9-417-01A,R2/SW1/5/18,R2/SW1/1/4,,,
9-505-01A,R2/SW1/5/30,R2/SW1/1/1,,,
9-512-01A,R3/SW1/7/25,R2/SW1/1/42,,,
9-513-01A,R3/SW1/4/46,R2/SW1/1/43,,,
CORR.2A-010Z-01A,2/SW1/5/28,5/SW1/1/39,,,
CORR.5-200Z-01A,5/SW1/4/18,5/SW1/1/42,,,
CORR.8-110Z-01A,R2/SW1/6/29,R2/SW1/1/39,R2/SW1/6/2,R2/SW1/1/46,R2/SW1/1/35
CORR.8-310Z-01A,R3/SW1/5/4,R2/SW1/1/45,,,
CORR.8-410Z-01A,R2/SW1/3/47,R3/SW1/8/9,R2/SW1/1/43,,
CORR.8-410Z-03A,R3/SW1/4/28,R2/SW1/1/36,,,
CORR.9-100Z-01A,R2/SW1/5/6,R2/SW1/1/39,,,
CORR.9-130Z-01A,R2/SW1/3/41,R2/SW1/1/48,,,
CORR.9-200Z-01A,R2/SW1/6/39,R2/SW1/1/46,,,
CORR.9-310Z-01A,R3/SW1/6/39,R2/SW1/3/7,,,
CORR.9-320Z-01A,R3/SW1/7/48,R2/SW1/1/47,,,
CORR.9-340Z-01A,R3/SW1/8/25,R2/SW1/1/34,,,
CORR.9-350Z-01A,R3/SW1/8/32,R2/SW1/1/40,,,
CORR.9-410Z-01A,R3/SW1/5/45,R2/SW1/1/7,,,
CORR.9-410Z-03A,R3/SW1/5/44,R2/SW1/1/9,,,
CORR.9-510Z-01A,R3/SW1/4/48,R2/SW1/1/44,R2/SW1/5/43,R3/SW1/5/36,
CORR.9-530Z-01A,R2/SW1/2/3,R2/SW1/1/41,,,
IDF-122C-01B,R2/SW1/1/1,R2/SW1/1/2,,,
IDF-8-334C-01A,R3/SW1/1/15,R2/SW1/1/31,,,
IDF-8-334C-01B,R2/SW1/1/1,R2/SW1/1/3,,,
9-105-01A,R2/SW1/5/38,R2/SW1/1/40,,,
9-111-01A,R2/SW1/5/4,R2/SW1/1/41,,,
9-117-01A,R2/SW1/6/31,R2/SW1/1/42,,,
9-128-01A,R2/SW1/2/6,R2/SW1/1/35,,,
9-201-01A,R2/SW1/6/35,R2/SW1/1/44,,,
9-205-01A,R2/SW1/6/8,R2/SW1/1/45,,,
9-206-01A,R2/SW1/5/34,R2/SW1/1/38,,,
9-211-01A,R2/SW1/6/33,R2/SW1/1/47,,,
9-214-01A,R3/SW1/7/48,R2/SW1/1/36,,,
9-303-01A,R3/SW1/7/21,R2/SW1/1/31,,,
9-308-01A,R3/SW1/7/13,R2/SW1/1/34,,,
9-309-01A,R3/SW1/6/42,R2/SW1/1/32,,,
9-315-01A,R2/SW1/3/1,R2/SW1/1/37,,,
9-317-01A,R2/SW1/2/24,R2/SW1/1/38,,,
9-323-01A,R2/SW1/2/35,R2/SW1/1/39,,,
9-329-01A,R2/SW1/6/22,R2/SW1/1/12,,,
9-332-01A,R2/SW1/2/10,R2/SW1/1/36,,,
9-333-01A,R2/SW1/6/38,R2/SW1/1/10,,,
9-334-01A,R2/SW1/5/25,R2/SW1/1/37,,,
9-358-01A,R2/SW1/6/48,R2/SW1/1/11,,,
9-405-01A,R2/SW1/6/10,R2/SW1/1/8,,,
9-406-01A,R3/SW1/5/34,R2/SW1/1/2,,,
9-411-01A,R2/SW1/5/47,R2/SW1/1/6,,,
9-417-01A,R2/SW1/5/18,R2/SW1/1/4,,,
9-505-01A,R2/SW1/5/30,R2/SW1/1/1,,,
9-512-01A,R3/SW1/7/25,R2/SW1/1/42,,,
9-513-01A,R3/SW1/4/46,R2/SW1/1/43,,,
CORR.9-100Z-01A,R2/SW1/5/6,R2/SW1/1/39,,,
CORR.9-130Z-01A,R2/SW1/3/41,R2/SW1/1/48,,,
CORR.9-200Z-01A,R2/SW1/6/39,R2/SW1/1/46,,,
CORR.9-310Z-01A,R3/SW1/6/39,R2/SW1/3/7,,,
CORR.9-320Z-01A,R3/SW1/7/48,R2/SW1/1/47,,,
CORR.9-340Z-01A,R3/SW1/8/25,R2/SW1/1/34,,,
CORR.9-350Z-01A,R3/SW1/8/32,R2/SW1/1/40,,,
CORR.9-410Z-01A,R3/SW1/5/45,R2/SW1/1/7,,,
CORR.9-410Z-03A,R3/SW1/5/44,R2/SW1/1/9,,,
CORR.9-510Z-01A,R3/SW1/4/48,R2/SW1/1/44,R2/SW1/5/43,R3/SW1/5/36,
CORR.9-530Z-01A,R2/SW1/2/3,R2/SW1/1/41,,,
